# GLoBES neutrino oscillation simulation
# --------------------------------------
#
# Run started on Fri Nov 19 14:31:48 2021
#
# Command line:   ./nu -e OPERA -f 4 -a PARAM_SCAN -t TH24=1.57 -p DM41,-2.0,2.0,80,LOGSCALE -p s22thmue,-4.01,-0.01,80,LOGSCALE 
#
# NU_RANK and/or NU_SIZE not defined. Assuming no parallelization.
# Using SNU probability engine.
# Using 4 flavor model
# Simulating the following experiments:
#   OPERA
# Including the following AEDL files:
#   opera.glb (version 3.0.0)
#
# AEDL variables:
#
# External analysis routines included:
#
# True oscillation parameters (only nonzero params shown):
#   TH12 = 0.58678
#   TH13 = 0.149051
#   TH23 = 0.823795
#   DELTA_0 = 4.71239
#   DM21 = 7.4e-05
#   DM31 = 0.002494
#   TH24 = 1.57
# External priors:
#
# Miscellaneous options:
#   Constraint \eps^s = \eps^{d\dag}: NO
#   New reactor fluxes (1101.2663):   YES
#
# Parameter scan:
#         DM41,         -2,          2,    80  0x1
#     s22thmue,      -4.01,      -0.01,    80  0x1
# Marginalizing over:
#   
# Prescan for degeneracy finding:
# Degfinder flags: 0x0
#
# General parameter scan
#
#                  DM41        s22thmue       chi2_NH          chi2_IH
                   -1.9           -0.21     47.00128186     46.99857309
                   -1.9           -0.16     47.16683682     47.16195935
                   -1.9           -0.11     47.31427885     47.30746999
                   -1.9           -0.06     47.44559942     47.43706879
                   -1.9           -0.01     47.56257215     47.55249996
                  -1.85           -4.01    0.7064295932    0.7049597718
                  -1.85           -3.96    0.6978700573    0.6962919575
                  -1.85           -3.91    0.6884094036    0.6867166116
                  -1.85           -3.86    0.6779731951    0.6761594728
                  -1.85           -3.81    0.6664863966    0.6645458741
                  -1.85           -3.76    0.6538752244    0.6518026468
                  -1.85           -3.71    0.6400696202    0.6378606619
                  -1.85           -3.66    0.6250064957    0.6226581541
                  -1.85           -3.61     0.608633917    0.6061450024
                  -1.85           -3.56     0.590916428    0.5882881684
                  -1.85           -3.51    0.5718417416    0.5690785207
                  -1.85           -3.46    0.5514290544    0.5485393079
                  -1.85           -3.41     0.529739276      0.52673657
                  -1.85           -3.36    0.5068874893    0.5037918083
                  -1.85           -3.31    0.4830579866    0.4798972611
                  -1.85           -3.26    0.4585222479    0.4553341515
                  -1.85           -3.21    0.4336602395    0.4304942872
                  -1.85           -3.16    0.4089854166    0.4059053954
