# GLoBES neutrino oscillation simulation
# --------------------------------------
#
# Run started on Fri Nov 19 14:30:10 2021
#
# Command line:   ./nu -e KARMEN -f 4 -a PARAM_SCAN -t TH24=1.57 -p DM41,-2.0,2.0,80,LOGSCALE -p s22thmue,-4.01,-0.01,80,LOGSCALE 
#
# NU_RANK and/or NU_SIZE not defined. Assuming no parallelization.
# Using SNU probability engine.
# Using 4 flavor model
# Simulating the following experiments:
#   KARMEN
# Including the following AEDL files:
#
# AEDL variables:
#
# External analysis routines included:
#   KARMEN
#
# True oscillation parameters (only nonzero params shown):
#   TH12 = 0.58678
#   TH13 = 0.149051
#   TH23 = 0.823795
#   DELTA_0 = 4.71239
#   DM21 = 7.4e-05
#   DM31 = 0.002494
#   TH24 = 1.57
# External priors:
#
# Miscellaneous options:
#   Constraint \eps^s = \eps^{d\dag}: NO
#   New reactor fluxes (1101.2663):   YES
#
# Parameter scan:
#         DM41,         -2,          2,    80  0x1
#     s22thmue,      -4.01,      -0.01,    80  0x1
# Marginalizing over:
#   
# Prescan for degeneracy finding:
# Degfinder flags: 0x0
#
# Initializing KARMEN and LSND codes ...
# General parameter scan
#
#                  DM41        s22thmue       chi2_NH          chi2_IH
                   -1.8           -1.36     6.883374039     6.883374039
                   -1.8           -1.31     6.884598676     6.884598676
                   -1.8           -1.26     6.885973845     6.885973845
                   -1.8           -1.21       6.8875182       6.8875182
                   -1.8           -1.16     6.889252742     6.889252742
                   -1.8           -1.11     6.891201127     6.891201127
                   -1.8           -1.06     6.893390016     6.893390016
                   -1.8           -1.01     6.895849465     6.895849465
                   -1.8           -0.96     6.898613384     6.898613384
                   -1.8           -0.91     6.901720045     6.901720045
                   -1.8           -0.86     6.905212682     6.905212682
                   -1.8           -0.81     6.909140164     6.909140164
                   -1.8           -0.76     6.913557775     6.913557775
                   -1.8           -0.71     6.918528112     6.918528112
                   -1.8           -0.66     6.924122122     6.924122122
                   -1.8           -0.61     6.930420295     6.930420295
                   -1.8           -0.56      6.93751406      6.93751406
                   -1.8           -0.51     6.945507388     6.945507388
                   -1.8           -0.46     6.954518677     6.954518677
                   -1.8           -0.41     6.964682938     6.964682938
                   -1.8           -0.36     6.976154358     6.976154358
                   -1.8           -0.31     6.989109302     6.989109302
                   -1.8           -0.26     7.003749836     7.003749836
                   -1.8           -0.21     7.020307879     7.020307879
                   -1.8           -0.16     7.039050081     7.039050081
                   -1.8           -0.11     7.060283598     7.060283598
                   -1.8           -0.06     7.084362897     7.084362897
                   -1.8           -0.01     7.111697822     7.111697822
                  -1.75           -4.01     6.873400704     6.873400704
                  -1.75           -3.96     6.873404137     6.873404137
                  -1.75           -3.91     6.873407987     6.873407987
                  -1.75           -3.86     6.873412308     6.873412308
                  -1.75           -3.81     6.873417156     6.873417156
                  -1.75           -3.76     6.873422596     6.873422596
                  -1.75           -3.71     6.873428699     6.873428699
                  -1.75           -3.66     6.873435547     6.873435547
                  -1.75           -3.61      6.87344323      6.87344323
                  -1.75           -3.56     6.873451851     6.873451851
                  -1.75           -3.51     6.873461525     6.873461525
                  -1.75           -3.46     6.873472378     6.873472378
                  -1.75           -3.41     6.873484556     6.873484556
