# GLoBES neutrino oscillation simulation
# --------------------------------------
#
# Run started on Fri Nov 19 14:38:10 2021
#
# Command line:   ./nu -e MUBOONE -f 4 -a PARAM_SCAN --no-ih --bf-spectrum -p DM41,-2.,2.,40,LOGSCALE -p s22thmue,-4.,0.,40,LOGSCALE -p Um4,0.025,0.775,15 
#
# NU_RANK and/or NU_SIZE not defined. Assuming no parallelization.
# Using SNU probability engine.
# Using 4 flavor model
# Simulating the following experiments:
#   MUBOONE
# Including the following AEDL files:
#
# AEDL variables:
#
# External analysis routines included:
#   microBooNE
#
# True oscillation parameters (only nonzero params shown):
#   TH12 = 0.58678
#   TH13 = 0.149051
#   TH23 = 0.823795
#   DELTA_0 = 4.71239
#   DM21 = 7.4e-05
#   DM31 = 0.002494
# External priors:
#
# Miscellaneous options:
#   Constraint \eps^s = \eps^{d\dag}: NO
#   New reactor fluxes (1101.2663):   YES
#
# Parameter scan:
#         DM41,         -2,          2,    40  0x1
#     s22thmue,         -4,          0,    40  0x1
#          Um4,      0.025,      0.775,    15  0x0
# Marginalizing over:
#   
# Prescan for degeneracy finding:
# Degfinder flags: 0x2
#
# Initializing microBooNE code ...
# Flags in MicroBooNE code: OSC_NO_NUBAR OSC_NO_NUMU 
# General parameter scan
#
#                  DM41        s22thmue             Um4       chi2_NH          chi2_IH
                     -2            -2.7           0.175     25.00352157           1e+50
                     -2            -2.7           0.225     25.00351708           1e+50
                     -2            -2.7           0.275     25.00350986           1e+50
                     -2            -2.7           0.325     25.00350053           1e+50
                     -2            -2.7           0.375     25.00348929           1e+50
                     -2            -2.7           0.425     25.00347624           1e+50
                     -2            -2.7           0.475     25.00346143           1e+50
                     -2            -2.7           0.525     25.00344486           1e+50
                     -2            -2.7           0.575     25.00342655           1e+50
                     -2            -2.7           0.625     25.00340649           1e+50
                     -2            -2.7           0.675     25.00338465           1e+50
                     -2            -2.7           0.725       25.003361           1e+50
                     -2            -2.7           0.775     25.00333549           1e+50
                     -2            -2.6           0.025           1e+50           1e+50
                     -2            -2.6           0.075     25.00355809           1e+50
                     -2            -2.6           0.125     25.00357863           1e+50
                     -2            -2.6           0.175     25.00358019           1e+50
                     -2            -2.6           0.225     25.00357622           1e+50
                     -2            -2.6           0.275     25.00356924           1e+50
                     -2            -2.6           0.325     25.00355999           1e+50
                     -2            -2.6           0.375     25.00354877           1e+50
                     -2            -2.6           0.425     25.00353569           1e+50
                     -2            -2.6           0.475      25.0035208           1e+50
                     -2            -2.6           0.525     25.00350414           1e+50
                     -2            -2.6           0.575      25.0034857           1e+50
                     -2            -2.6           0.625     25.00346548           1e+50
