# GLoBES neutrino oscillation simulation
# --------------------------------------
#
# Run started on Tue Nov 16 10:52:10 2021
#
# Command line:   ./nu-tmp-gFe14 -f 4 -a PARAM_SCAN --no-ih --bf-spectrum -p DM41,-2.,2.,20,LOGSCALE -p s22thmue,-4.,0.,20,LOGSCALE -p Um4,0.025,0.775,15 -e MUBOONE 
#
# Computing slice 1 of 1 in parallel environment.
# Using SNU probability engine.
# Using 4 flavor model
# Simulating the following experiments:
#   MUBOONE
# Including the following AEDL files:
#
# AEDL variables:
#
# External analysis routines included:
#   microBooNE
#
# True oscillation parameters (only nonzero params shown):
#   TH12 = 0.58678
#   TH13 = 0.149051
#   TH23 = 0.823795
#   DELTA_0 = 4.71239
#   DM21 = 7.4e-05
#   DM31 = 0.002494
# External priors:
#
# Miscellaneous options:
#   Constraint \eps^s = \eps^{d\dag}: NO
#   New reactor fluxes (1101.2663):   YES
#
# Parameter scan:
#         DM41,         -2,          2,    20  0x1
#     s22thmue,         -4,          0,    20  0x1
#          Um4,      0.025,      0.775,    15  0x0
# Marginalizing over:
#   
# Prescan for degeneracy finding:
# Degfinder flags: 0x2
#
# Initializing microBooNE code ...
# Flags in MicroBooNE code: OSC_NO_NUBAR OSC_NO_NUMU MUBOONE_SENSITIVITY 
# General parameter scan
#
#                  DM41        s22thmue             Um4       chi2_NH          chi2_IH
                     -2            -0.6           0.775  0.001150845881           1e+50
                     -2            -0.4           0.025           1e+50           1e+50
                     -2            -0.4           0.075           1e+50           1e+50
                     -2            -0.4           0.125           1e+50           1e+50
                     -2            -0.4           0.175           1e+50           1e+50
                     -2            -0.4           0.225           1e+50           1e+50
                     -2            -0.4           0.275           1e+50           1e+50
                     -2            -0.4           0.325           1e+50           1e+50
                     -2            -0.4           0.375  0.002838953993           1e+50
                     -2            -0.4           0.425  0.002852565201           1e+50
                     -2            -0.4           0.475  0.002859301111           1e+50
                     -2            -0.4           0.525   0.00286228417           1e+50
                     -2            -0.4           0.575  0.002862780727           1e+50
                     -2            -0.4           0.625  0.002861427869           1e+50
                     -2            -0.4           0.675  0.002858561726           1e+50
                     -2            -0.4           0.725  0.002854337268           1e+50
                     -2            -0.4           0.775  0.002848763439           1e+50
                     -2            -0.2           0.025           1e+50           1e+50
                     -2            -0.2           0.075           1e+50           1e+50
                     -2            -0.2           0.125           1e+50           1e+50
                     -2            -0.2           0.175           1e+50           1e+50
                     -2            -0.2           0.225           1e+50           1e+50
                     -2            -0.2           0.275           1e+50           1e+50
                     -2            -0.2           0.325           1e+50           1e+50
                     -2            -0.2           0.375           1e+50           1e+50
                     -2            -0.2           0.425           1e+50           1e+50
                     -2            -0.2           0.475  0.007019438172           1e+50
                     -2            -0.2           0.525  0.007039892847           1e+50
                     -2            -0.2           0.575  0.007048991601           1e+50
                     -2            -0.2           0.625  0.007051845118           1e+50
                     -2            -0.2           0.675  0.007050265283           1e+50
                     -2            -0.2           0.725  0.007045010189           1e+50
                     -2            -0.2           0.775  0.007036199849           1e+50
                     -2               0           0.025           1e+50           1e+50
                     -2               0           0.075           1e+50           1e+50
                     -2               0           0.125           1e+50           1e+50
                     -2               0           0.175           1e+50           1e+50
                     -2               0           0.225           1e+50           1e+50
                     -2               0           0.275           1e+50           1e+50
                     -2               0           0.325           1e+50           1e+50
                     -2               0           0.375           1e+50           1e+50
                     -2               0           0.425           1e+50           1e+50
                     -2               0           0.475           1e+50           1e+50
                     -2               0           0.525           1e+50           1e+50
                     -2               0           0.575           1e+50           1e+50
                     -2               0           0.625           1e+50           1e+50
                     -2               0           0.675           1e+50           1e+50
                     -2               0           0.725           1e+50           1e+50
                     -2               0           0.775           1e+50           1e+50
                   -1.8              -4           0.025 1.777776453e-07           1e+50
                   -1.8              -4           0.075 1.881518518e-07           1e+50
                   -1.8              -4           0.125 1.856962941e-07           1e+50
                   -1.8              -4           0.175 1.808650783e-07           1e+50
                   -1.8              -4           0.225 1.742819857e-07           1e+50
                   -1.8              -4           0.275  1.66145362e-07           1e+50
                   -1.8              -4           0.325 1.566034965e-07           1e+50
                   -1.8              -4           0.375 1.458089623e-07           1e+50
                   -1.8              -4           0.425 1.339312658e-07           1e+50
                   -1.8              -4           0.475 1.211609707e-07           1e+50
                   -1.8              -4           0.525  1.07710786e-07           1e+50
                   -1.8              -4           0.575 9.381774436e-08           1e+50
                   -1.8              -4           0.625  7.97416099e-08           1e+50
                   -1.8              -4           0.675 6.576658159e-08           1e+50
